iter	Passed	Remaining
733	18983	6879
734	19007	6853
735	19032	6826
736	19058	6800
737	19082	6774
738	19103	6747
739	19128	6720
740	19152	6694
741	19177	6668
742	19202	6641
743	19226	6615
744	19266	6594
745	19300	6571
746	19339	6550
747	19373	6526
748	19397	6500
749	19421	6473
750	19445	6447
751	19470	6421
752	19495	6394
753	19520	6368
754	19545	6342
755	19570	6316
756	19594	6289
757	19619	6263
758	19644	6237
759	19669	6211
760	19694	6185
761	19719	6159
762	19744	6132
763	19769	6106
764	19792	6080
765	19817	6053
766	19842	6027
767	19867	6001
768	19892	5975
769	19916	5949
770	19941	5922
771	19966	5896
772	19991	5870
773	20017	5844
774	20041	5818
775	20065	5792
776	20090	5766
777	20115	5739
778	20139	5713
779	20164	5687
780	20189	5661
781	20214	5635
782	20238	5609
783	20263	5582
784	20287	5556
785	20313	5530
786	20337	5504
787	20363	5478
788	20385	5451
789	20423	5429
790	20458	5405
791	20492	5381
792	20531	5359
793	20556	5333
794	20580	5306
795	20606	5281
796	20645	5258
797	20679	5234
798	20710	5210
799	20740	5185
800	20766	5159
801	20791	5133
802	20817	5107
803	20842	5080
804	20867	5054
805	20892	5028
806	20919	5003
807	20948	4977
808	20973	4951
809	21002	4926
810	21030	4901
811	21055	4874
812	21079	4848
813	21105	4822
814	21131	4796
815	21156	4770
816	21180	4744
817	21205	4717
818	21229	4691
819	21255	4665
820	21281	4639
821	21310	4614
822	21334	4588
823	21360	4562
824	21386	4536
825	21414	4511
826	21443	4485
827	21471	4460
828	21497	4434
829	21524	4408
830	21552	4383
831	21586	4358
832	21624	4335
833	21670	4313
834	21716	4291
835	21744	4265
836	21770	4239
837	21799	4214
838	21824	4188
839	21852	4162
840	21878	4136
841	21905	4110
842	21934	4085
843	21962	4059
844	21990	4033
845	22018	4008
846	22045	3982
847	22073	3956
848	22101	3930
849	22129	3905
850	22156	3879
851	22184	3853
852	22210	3827
853	22237	3801
854	22264	3775
855	22293	3750
856	22324	3725
857	22353	3699
858	22382	3673
859	22411	3648
860	22437	3622
861	22465	3596
862	22493	3570
863	22520	3544
864	22547	3518
865	22573	3492
866	22600	3466
867	22627	3441
868	22653	3414
869	22680	3389
870	22706	3363
871	22733	3337
872	22771	3312
873	22805	3287
